,Rank,Country,Year,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
0,1,Switzerland,2013,215.71,138.2,72.42,71.98,146.98,6.25,25.87,22.97,-
1,2,Germany,2013,204.84,118.0,76.14,73.25,87.56,5.0,31.89,28.43,-
2,3,United States,2013,199.56,138.38,46.56,67.76,79.57,2.2,39.54,32.53,-
3,4,Sweden,2013,191.36,108.25,68.19,78.7,110.72,8.75,27.9,18.79,-
4,5,Canada,2013,186.03,111.04,65.02,72.79,95.47,5.08,38.76,26.52,-
5,6,United Arab Emirates,2013,186.01,123.85,81.99,59.92,74.12,4.43,24.5,58.37,-
6,7,Denmark,2013,182.29,104.58,69.26,86.13,114.09,6.97,22.5,34.29,-
7,8,Norway,2013,173.86,97.29,74.39,80.51,164.92,7.3,27.08,23.35,-
8,9,Qatar,2013,169.92,140.57,73.83,68.06,80.92,5.43,30.5,82.76,-
9,10,Austria,2013,167.39,88.57,69.56,81.45,93.07,8.82,28.0,28.81,-
10,11,Finland,2013,167.21,95.65,67.31,76.41,101.72,9.38,49.0,18.53,-
11,12,Australia,2013,165.8,104.18,55.56,75.56,130.71,8.12,39.09,20.89,-
12,13,New Zealand,2013,163.17,85.55,58.21,76.04,110.45,5.94,26.57,21.8,-
13,14,Netherlands,2013,160.54,94.93,62.47,66.8,98.06,6.3,38.7,28.08,-
14,15,Japan,2013,159.79,87.68,86.89,80.09,113.21,8.32,50.3,33.68,-
15,16,Estonia,2013,154.95,54.02,75.77,78.06,67.23,9.26,23.17,16.38,-
16,17,France,2013,151.36,99.18,48.87,85.62,98.92,8.38,28.9,41.3,-
17,18,Ireland,2013,149.64,91.68,55.05,49.0,107.65,5.52,21.0,29.76,-
18,19,United Kingdom,2013,148.12,90.54,60.22,71.28,96.99,6.73,38.67,36.02,-
19,20,Belgium,2013,146.73,95.48,57.05,81.48,103.01,6.69,27.33,49.63,-
20,21,Spain,2013,141.05,83.67,65.88,75.61,79.25,9.63,26.42,46.52,-
21,22,Saudi Arabia,2013,140.49,116.1,68.26,34.17,71.28,3.11,15.75,80.55,-
22,23,South Korea,2013,135.62,95.57,82.6,80.56,79.71,12.46,21.5,75.57,-
23,24,Slovenia,2013,133.62,60.1,70.4,72.11,78.15,12.1,24.67,28.17,-
24,25,South Africa,2013,123.77,107.37,23.32,61.33,59.51,3.21,38.91,58.99,-
25,26,Czech Republic,2013,122.18,64.46,65.88,61.99,60.97,10.0,30.78,40.1,-
26,27,Taiwan,2013,120.57,74.17,83.74,81.25,66.76,9.02,38.33,71.48,-
27,28,Portugal,2013,119.76,54.59,65.04,61.63,71.77,8.06,27.88,35.0,-
28,29,Puerto Rico,2013,117.89,95.73,29.47,58.98,81.49,3.93,32.5,54.02,-
29,30,Slovakia,2013,114.58,54.24,64.84,59.95,62.69,7.91,41.0,34.4,-
30,31,Lithuania,2013,114.05,42.79,65.39,70.79,60.95,13.58,27.33,25.17,-
31,32,Israel,2013,99.34,73.52,51.74,87.04,90.18,10.31,46.6,59.54,-
