Rank,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
1,Switzerland,215.71,138.2,72.42,71.98,146.98,6.25,25.87,22.97,-
2,Germany,204.84,118,76.14,73.25,87.56,5,31.89,28.43,-
3,United States,199.56,138.38,46.56,67.76,79.57,2.2,39.54,32.53,-
4,Sweden,191.36,108.25,68.19,78.7,110.72,8.75,27.9,18.79,-
5,Canada,186.03,111.04,65.02,72.79,95.47,5.08,38.76,26.52,-
6,United Arab Emirates,186.01,123.85,81.99,59.92,74.12,4.43,24.5,58.37,-
7,Denmark,182.29,104.58,69.26,86.13,114.09,6.97,22.5,34.29,-
8,Norway,173.86,97.29,74.39,80.51,164.92,7.3,27.08,23.35,-
9,Qatar,169.92,140.57,73.83,68.06,80.92,5.43,30.5,82.76,-
10,Austria,167.39,88.57,69.56,81.45,93.07,8.82,28,28.81,-
11,Finland,167.21,95.65,67.31,76.41,101.72,9.38,49,18.53,-
12,Australia,165.8,104.18,55.56,75.56,130.71,8.12,39.09,20.89,-
13,New Zealand,163.17,85.55,58.21,76.04,110.45,5.94,26.57,21.8,-
14,Netherlands,160.54,94.93,62.47,66.8,98.06,6.3,38.7,28.08,-
15,Japan,159.79,87.68,86.89,80.09,113.21,8.32,50.3,33.68,-
16,Estonia,154.95,54.02,75.77,78.06,67.23,9.26,23.17,16.38,-
17,France,151.36,99.18,48.87,85.62,98.92,8.38,28.9,41.3,-
18,Ireland,149.64,91.68,55.05,49,107.65,5.52,21,29.76,-
19,United Kingdom,148.12,90.54,60.22,71.28,96.99,6.73,38.67,36.02,-
20,Belgium,146.73,95.48,57.05,81.48,103.01,6.69,27.33,49.63,-
21,Spain,141.05,83.67,65.88,75.61,79.25,9.63,26.42,46.52,-
22,Saudi Arabia,140.49,116.1,68.26,34.17,71.28,3.11,15.75,80.55,-
23,South Korea,135.62,95.57,82.6,80.56,79.71,12.46,21.5,75.57,-
24,Slovenia,133.62,60.1,70.4,72.11,78.15,12.1,24.67,28.17,-
25,South Africa,123.77,107.37,23.32,61.33,59.51,3.21,38.91,58.99,-
26,Czech Republic,122.18,64.46,65.88,61.99,60.97,10,30.78,40.1,-
27,Taiwan,120.57,74.17,83.74,81.25,66.76,9.02,38.33,71.48,-
28,Portugal,119.76,54.59,65.04,61.63,71.77,8.06,27.88,35,-
29,Puerto Rico,117.89,95.73,29.47,58.98,81.49,3.93,32.5,54.02,-
30,Slovakia,114.58,54.24,64.84,59.95,62.69,7.91,41,34.4,-
31,Lithuania,114.05,42.79,65.39,70.79,60.95,13.58,27.33,25.17,-
32,Israel,99.34,73.52,51.74,87.04,90.18,10.31,46.6,59.54,-
33,Hong Kong,94.27,81.17,83.43,71.06,76.23,23.93,43.88,64.95,-
34,Poland,90.47,55.56,61.07,57.81,53.31,13,36.24,50.02,-
35,Croatia,88.86,52.07,67.75,50.03,69.6,13.1,43.86,42,-
36,Mexico,87.94,60.67,43.77,72.12,52.42,5.68,37.37,66.08,-
37,Italy,87.36,75.76,50.54,64.78,98.09,13,38.43,58.86,-
38,Panama,86.81,37.69,51.54,82.41,50.77,10.83,31.67,48.08,-
39,Hungary,85.59,43.45,66.28,51.02,60.76,10.71,22.45,53.27,-
40,Malaysia,79.74,71.79,32.25,59.65,54.13,6.79,38.64,67.35,-
41,Uruguay,78.34,38.14,55.03,57.18,80.65,11.54,50,30.46,-
42,Turkey,74.84,57.26,64.8,71.87,61.67,6.19,50.47,82,-
43,India,73.7,62.71,57.88,62.68,30.24,9.96,50.64,77.48,-
44,Chile,72.56,58.03,59.72,61.51,66.37,9.22,40.22,74.2,-
45,Argentina,72.53,51.09,40.71,78.26,69.68,10.19,46.71,55.56,-
46,Bosnia And Herzegovina,71.6,47.34,56.74,54.54,50.63,11.7,18.83,67.63,-
47,Singapore,69.17,60.86,80.02,58.82,104.14,25.12,51.1,49.5,-
48,Serbia,63.68,37.01,58.77,55.55,51.13,17.22,25.48,52.79,-
49,Romania,57.75,36.35,69.98,46.13,49.46,14.25,34.85,63.34,-
50,Greece,55.51,50.31,50.24,50.4,88.06,11.56,38.51,62.69,-
51,Thailand,54.08,35.44,59.47,94.73,51.3,18.33,38.57,72.12,-
52,Bulgaria,53.71,38.01,58.53,54.63,51.37,10.14,22.17,78.86,-
53,Brazil,48.21,41.44,37.38,57.58,69.91,13.33,35.82,56.5,-
54,Ecuador,37.68,25.99,40.26,64.81,46.02,13.33,43,58.55,-
55,Georgia,35.74,29,80.43,68.98,53.24,33.8,20,64.83,-
56,Colombia,35.05,29.44,45.84,77.31,57.25,15.46,43.57,68.26,-
57,Ukraine,31.86,32.3,51.05,47.89,47.95,15.42,39.91,67.28,-
58,China,31.5,42.41,73.13,60.86,60.72,22.22,30.5,89.35,-
59,Philippines,21.08,25.98,45.06,73.7,47.79,16.38,46.75,74.84,-
60,Russia,18.5,39.6,47.61,39.34,68.12,12.36,49.68,78.29,-
61,Mongolia,14.08,28.4,53.13,43.06,61.95,13,26.67,88.97,-
62,Lebanon,12.46,44.15,52.69,43.33,73.95,18.42,36.4,88.05,-
63,Pakistan,7.67,26.38,38.48,47.88,32.83,17.49,16,86.96,-
64,Egypt,7.59,27.41,51.33,59.08,44.12,12.33,59,89.86,-
65,Iran,-6.96,35.75,43.85,45.66,56.97,16.33,58.28,90.23,-
66,Indonesia,-12.54,24.61,59.51,48.52,46.01,24.75,54.38,85.14,-
67,Venezuela,-48.27,18.71,14.3,44.44,110.55,20.78,38.75,81.89,-
