,Country,Code,Year,"Female (deaths per 100,000)","Male (deaths per 100,000)","Both sexes (deaths per 100,000)",Rank,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
0,Argentina,ARG,2013,4.14,18.7,11.074010405223703,45,72.53,51.09,40.71,78.26,69.68,10.19,46.71,55.56,-
1,Argentina,ARG,2014,4.07,18.25,10.820288684217378,41,81.12,57.08,42.52,76.75,66.85,8.95,45.0,57.45,-
2,Argentina,ARG,2015,4.01,17.82,10.570320576512204,52,77.01,59.38,37.6,75.18,67.12,11.59,41.39,55.88,-
3,Argentina,ARG,2016,4.0,17.95,10.627445853661275,36,138.48,74.92,36.72,73.73,64.09,12.22,42.36,58.46,91.7
4,Armenia,ARM,2015,3.42,14.56,8.522066347590416,60,49.07,27.74,70.86,48.33,40.68,13.39,26.09,73.03,-
5,Australia,AUS,2013,5.12,16.15,10.533589553159171,12,165.8,104.18,55.56,75.56,130.71,8.12,39.09,20.89,-
6,Australia,AUS,2014,5.26,16.88,10.962726860710749,8,175.98,104.2,58.77,73.55,108.51,7.44,36.25,19.38,-
7,Australia,AUS,2015,5.28,17.5,11.277802198153564,8,180.81,110.39,57.84,71.85,99.32,7.13,36.25,21.63,-
8,Australia,AUS,2016,5.04,17.35,11.081869871307235,5,198.79,147.25,56.88,73.71,78.45,8.43,34.65,22.88,77.33
9,Austria,AUT,2013,5.35,19.19,11.891660917507098,10,167.39,88.57,69.56,81.45,93.07,8.82,28.0,28.81,-
10,Austria,AUT,2014,5.51,18.87,11.841427022802556,10,171.82,91.53,74.17,79.67,89.5,9.17,24.5,31.68,-
11,Austria,AUT,2015,5.37,18.82,11.770476394482765,7,182.62,104.55,73.75,78.42,76.87,9.6,25.86,33.96,-
12,Austria,AUT,2016,5.28,18.16,11.420545843824014,6,192.4,120.46,75.94,77.78,66.59,9.52,26.79,30.77,63.76
13,Bahrain,BHR,2015,1.81,5.67,4.268414685814541,47,84.06,59.69,60.03,84.44,56.17,7.89,27.0,87.36,-
14,Bangladesh,BGD,2015,6.04,6.28,6.217116213282447,82,-5.36,33.43,35.75,43.25,39.22,10.9,58.0,93.59,-
15,Belarus,BLR,2014,6.34,38.8,21.095539973217694,45,74.43,33.93,67.11,48.02,50.35,16.81,24.83,42.72,-
16,Belarus,BLR,2015,5.79,36.32,19.58532029920445,54,72.48,35.82,69.5,45.39,50.2,16.36,30.57,45.12,-
17,Belgium,BEL,2013,8.65,23.04,15.629296788064766,20,146.73,95.48,57.05,81.48,103.01,6.69,27.33,49.63,-
18,Belgium,BEL,2014,8.16,22.38,15.070784242938357,21,134.71,87.93,58.47,78.04,100.04,5.98,25.96,56.16,-
19,Belgium,BEL,2015,8.25,21.94,14.909187057337196,23,135.95,86.16,57.96,77.86,87.22,6.49,26.69,53.84,-
20,Belgium,BEL,2016,7.85,21.36,14.422614984832613,25,162.29,106.69,54.81,78.06,75.44,6.58,36.19,56.61,76.97
21,Bolivia,BOL,2015,4.25,8.85,6.4903743617884455,78,6.55,41.1,34.4,49.75,40.02,10.33,55.0,94.05,-
22,Brazil,BRA,2013,2.38,10.01,6.033516729547022,53,48.21,41.44,37.38,57.58,69.91,13.33,35.82,56.5,-
23,Brazil,BRA,2014,2.33,9.98,5.996477591754446,56,38.76,43.29,33.0,53.72,60.6,14.96,43.02,57.58,-
24,Brazil,BRA,2015,2.3,9.98,5.979826160641872,70,29.84,41.16,31.05,52.15,55.33,16.7,46.34,58.03,-
25,Brazil,BRA,2016,2.29,10.18,6.0700501938100775,45,101.02,48.69,28.77,51.09,38.88,17.95,46.12,61.18,72.6
26,Bulgaria,BGR,2013,3.52,15.0,8.961946892767717,52,53.71,38.01,58.53,54.63,51.37,10.14,22.17,78.86,-
27,Bulgaria,BGR,2014,3.79,15.35,9.271611188938133,51,62.6,37.39,59.98,58.04,49.96,9.87,34.69,66.72,-
28,Bulgaria,BGR,2015,3.77,15.33,9.24062290038697,55,68.3,39.88,56.55,58.47,43.57,9.42,33.43,63.96,-
29,Bulgaria,BGR,2016,3.72,15.66,9.373283872294193,34,141.61,59.19,58.58,50.93,36.36,8.8,28.66,60.35,77.8
30,Cambodia,KHM,2015,2.41,7.28,4.620922372038541,81,-4.4,11.93,55.94,54.17,57.05,21.11,33.33,80.06,-
31,Canada,CAN,2013,5.61,16.27,10.82001543178961,5,186.03,111.04,65.02,72.79,95.47,5.08,38.76,26.52,-
32,Canada,CAN,2014,5.78,16.78,11.16773412193814,7,178.29,105.53,63.71,71.94,87.9,5.57,39.17,27.7,-
33,Canada,CAN,2015,5.85,16.99,11.316168461035485,9,177.63,105.07,62.54,69.6,81.8,5.52,38.88,27.3,-
34,Canada,CAN,2016,5.7,16.63,11.065493408182174,15,177.23,134.81,60.8,68.62,64.82,6.14,37.79,29.48,46.23
35,Chile,CHL,2013,3.82,17.14,10.236230588119787,44,72.56,58.03,59.72,61.51,66.37,9.22,40.22,74.2,-
36,Chile,CHL,2014,3.66,17.03,10.105458150138674,47,69.32,58.27,52.91,58.68,60.16,9.45,42.1,70.98,-
37,Chile,CHL,2015,3.78,16.9,10.106312380464631,56,65.48,55.11,54.99,58.55,53.21,10.84,40.83,72.4,-
38,Chile,CHL,2016,3.77,16.99,10.147604371033426,30,147.26,78.4,58.0,61.05,43.88,9.88,33.81,67.21,85.68
39,China,CHN,2013,6.34,8.99,7.636712475439903,58,31.5,42.41,73.13,60.86,60.72,22.22,30.5,89.35,-
40,China,CHN,2014,6.19,8.94,7.540028585797193,58,30.3,43.73,69.87,65.12,54.12,26.13,31.17,84.72,-
41,China,CHN,2015,6.01,8.88,7.420151367647718,76,15.99,48.64,58.25,58.74,48.89,26.42,37.48,89.36,-
42,China,CHN,2016,5.78,8.78,7.2551741441164275,46,99.03,77.42,67.92,61.2,48.1,24.98,44.09,85.54,46.59
43,Colombia,COL,2013,1.9,9.03,5.3249151438623565,56,35.05,29.44,45.84,77.31,57.25,15.46,43.57,68.26,-
44,Colombia,COL,2014,1.92,9.26,5.455652666091838,57,36.53,33.45,41.46,68.52,50.37,14.23,46.15,65.67,-
45,Colombia,COL,2015,1.91,9.31,5.4791300652068,61,47.71,36.08,43.12,68.92,38.92,14.35,44.55,61.41,-
46,Colombia,COL,2016,1.88,9.46,5.540307678380669,41,128.46,45.99,51.49,73.22,29.25,16.29,44.24,64.44,84.51
47,Croatia,HRV,2013,5.09,19.62,11.845546451590774,35,88.86,52.07,67.75,50.03,69.6,13.1,43.86,42.0,-
48,Croatia,HRV,2014,5.15,19.57,11.851634481926222,32,108.7,48.32,71.1,55.94,69.04,13.37,33.35,28.69,-
49,Croatia,HRV,2015,5.28,19.89,12.080679498885539,33,112.34,50.47,70.66,57.26,58.92,12.48,30.5,32.76,-
50,Croatia,HRV,2016,4.68,18.87,11.303063297778886,19,172.39,67.89,70.49,59.96,48.2,11.88,30.03,30.42,85.64
51,Cyprus,CYP,2015,1.76,7.74,4.699221642196222,17,154.91,71.05,68.44,78.36,72.52,7.38,19.0,32.88,-
52,Czech Republic,CZE,2013,4.03,20.62,12.083107341312099,26,122.18,64.46,65.88,61.99,60.97,10.0,30.78,40.1,-
53,Czech Republic,CZE,2014,3.82,19.58,11.466955249075868,26,122.99,62.32,66.12,66.27,56.59,10.43,33.08,38.34,-
54,Czech Republic,CZE,2015,3.79,19.04,11.184923365861938,27,127.53,68.07,67.11,67.24,48.5,10.59,31.47,42.87,-
55,Czech Republic,CZE,2016,3.82,18.45,10.91706347719219,22,167.38,89.99,67.94,72.35,41.8,10.33,32.48,42.49,63.48
56,Denmark,DNK,2013,4.32,13.65,8.866468897506401,7,182.29,104.58,69.26,86.13,114.09,6.97,22.5,34.29,-
57,Denmark,DNK,2014,4.16,13.38,8.666310123652826,6,178.55,100.66,70.73,85.62,114.87,6.37,25.0,34.76,-
58,Denmark,DNK,2015,4.26,12.84,8.452166737823841,6,190.18,105.7,74.29,79.28,100.6,5.02,27.85,31.79,-
59,Denmark,DNK,2016,4.42,13.09,8.66188617882549,2,206.49,142.14,74.33,81.89,84.88,5.85,25.64,29.93,70.65
60,Dominican Republic,DOM,2015,3.1,14.72,8.866549913685178,65,43.6,28.2,32.28,78.7,55.95,11.45,27.5,65.32,-
61,Ecuador,ECU,2013,4.88,14.9,9.780455915217852,54,37.68,25.99,40.26,64.81,46.02,13.33,43.0,58.55,-
62,Ecuador,ECU,2014,4.63,14.72,9.566042200594847,53,42.25,27.03,40.03,59.39,45.23,12.7,42.8,53.66,-
63,Ecuador,ECU,2015,4.52,14.58,9.445860858285416,64,44.52,28.0,45.96,63.08,45.57,14.67,45.67,53.2,-
64,Egypt,EGY,2013,2.58,7.9,5.29573630665503,64,7.59,27.41,51.33,59.08,44.12,12.33,59.0,89.86,-
65,Egypt,EGY,2014,2.63,7.78,5.256165862283928,65,5.41,25.57,47.57,61.3,38.26,11.09,60.83,91.23,-
66,Egypt,EGY,2015,2.7,7.93,5.3729654536658975,83,-7.07,25.84,39.86,54.69,37.22,11.33,56.85,96.62,-
67,Egypt,EGY,2016,2.73,8.02,5.436074106758684,50,88.79,40.3,43.47,46.58,36.71,10.76,50.85,96.05,79.72
68,Estonia,EST,2013,4.12,25.17,13.815965046287113,16,154.95,54.02,75.77,78.06,67.23,9.26,23.17,16.38,-
69,Estonia,EST,2014,4.05,25.47,13.931775873925778,16,145.4,48.67,70.93,76.34,67.33,10.19,24.71,13.43,-
70,Estonia,EST,2015,3.75,23.9,13.071507512750644,21,144.59,51.44,71.87,73.08,61.2,11.65,22.44,15.53,-
71,Finland,FIN,2013,6.81,21.79,14.223037111055195,11,167.21,95.65,67.31,76.41,101.72,9.38,49.0,18.53,-
72,Finland,FIN,2014,6.21,20.63,13.356331357186447,5,178.88,97.9,70.84,68.69,103.28,7.83,37.0,16.68,-
73,Finland,FIN,2015,5.81,19.54,12.621371009688616,5,190.25,101.17,70.45,69.37,89.68,7.01,33.17,14.91,-
74,Finland,FIN,2016,5.85,19.7,12.721293064348691,11,184.01,132.93,71.88,74.36,75.25,7.73,32.89,17.84,32.56
75,France,FRA,2013,6.35,22.03,13.777085559134074,17,151.36,99.18,48.87,85.62,98.92,8.38,28.9,41.3,-
76,France,FRA,2014,6.06,21.11,13.190758636404714,20,136.31,92.29,52.72,82.28,100.21,10.32,28.1,46.92,-
77,France,FRA,2015,5.81,20.96,12.985378781086636,22,139.31,92.62,50.29,82.58,88.37,9.7,28.6,45.94,-
78,France,FRA,2016,5.61,20.2,12.522829069089779,18,173.56,118.51,55.94,82.25,75.3,11.93,31.98,46.31,78.3
79,Georgia,GEO,2013,2.09,12.19,6.722582816213762,55,35.74,29.0,80.43,68.98,53.24,33.8,20.0,64.83,-
80,Georgia,GEO,2015,2.34,13.49,7.4653895216434965,57,64.96,26.21,77.99,62.59,39.56,15.17,38.0,58.79,-
81,Germany,DEU,2013,4.66,15.04,9.662333896786608,2,204.84,118.0,76.14,73.25,87.56,5.0,31.89,28.43,-
82,Germany,DEU,2014,4.49,14.7,9.415548571741382,3,192.69,112.28,72.86,75.26,87.14,5.6,36.07,30.2,-
83,Germany,DEU,2015,4.66,15.07,9.692091233358722,2,195.94,111.84,71.51,75.61,76.27,6.61,31.08,28.32,-
84,Germany,DEU,2016,4.78,15.34,9.903972521970925,4,199.7,147.61,67.05,75.85,65.54,7.13,29.07,29.91,63.02
85,Greece,GRC,2013,1.3,5.93,3.5669421927283045,50,55.51,50.31,50.24,50.4,88.06,11.56,38.51,62.69,-
86,Greece,GRC,2014,1.29,6.04,3.6157358229254006,43,77.48,44.27,56.95,59.02,83.79,11.74,36.98,45.28,-
87,Greece,GRC,2015,1.29,6.14,3.66306904733662,40,94.66,51.89,58.65,56.73,68.88,9.67,33.18,44.87,-
88,Greece,GRC,2016,1.3,5.9,3.548049172893188,24,165.43,79.27,61.54,59.17,54.4,7.38,29.09,47.22,87.14
89,Hungary,HUN,2013,6.68,26.75,15.87767821084032,39,85.59,43.45,66.28,51.02,60.76,10.71,22.45,53.27,-
90,Hungary,HUN,2014,6.46,26.02,15.446339880942777,40,83.18,44.89,62.48,46.58,59.27,9.63,34.83,48.33,-
91,Hungary,HUN,2015,6.94,27.05,16.21149289148892,41,93.07,46.85,58.24,51.58,48.9,8.58,30.12,46.25,-
92,Hungary,HUN,2016,6.26,24.59,14.6977940301251,35,140.74,56.3,58.07,52.07,41.29,9.81,31.78,46.7,66.89
93,India,IND,2013,13.76,19.46,16.56142616887109,43,73.7,62.71,57.88,62.68,30.24,9.96,50.64,77.48,-
94,India,IND,2014,13.86,18.83,16.287277363620753,42,78.01,62.33,56.3,64.62,26.7,10.16,47.72,74.34,-
95,India,IND,2015,13.4,18.12,15.705220514811838,51,78.6,65.79,53.45,66.86,26.27,10.06,45.24,77.72,-
96,India,IND,2016,13.43,18.15,15.738275673789055,43,109.28,89.65,53.41,66.47,24.14,10.54,45.98,77.02,19.66
97,Indonesia,IDN,2013,1.62,4.94,3.261365629804402,66,-12.54,24.61,59.51,48.52,46.01,24.75,54.38,85.14,-
98,Indonesia,IDN,2014,1.59,4.85,3.2034096905855645,62,21.85,26.44,53.33,60.23,39.0,18.79,41.07,73.78,-
99,Indonesia,IDN,2015,1.57,4.79,3.1681053080261043,73,22.7,26.01,52.78,66.09,39.35,18.93,41.63,74.41,-
100,Indonesia,IDN,2016,1.56,4.76,3.1506025895739525,53,72.19,35.51,53.03,62.56,36.33,19.48,41.4,75.14,7.98
101,Iran,IRN,2013,3.68,8.12,5.919657605534973,65,-6.96,35.75,43.85,45.66,56.97,16.33,58.28,90.23,-
102,Iran,IRN,2014,3.47,7.97,5.735812141263247,66,-11.08,30.33,44.99,48.6,49.51,20.63,54.45,86.07,-
103,Iran,IRN,2015,3.23,8.0,5.634616586973271,80,1.07,30.65,49.1,50.12,44.53,20.78,47.44,82.28,-
104,Iran,IRN,2016,3.23,7.82,5.5461880874432685,47,96.93,47.73,47.63,49.83,41.12,14.78,48.15,84.21,74.61
105,Ireland,IRL,2013,3.65,16.06,9.776539733131198,18,149.64,91.68,55.05,49.0,107.65,5.52,21.0,29.76,-
106,Ireland,IRL,2014,3.39,15.51,9.369767999513275,17,142.35,94.64,46.41,42.57,106.61,5.74,22.53,29.32,-
107,Ireland,IRL,2015,3.33,14.33,8.753767280961808,19,148.85,95.72,50.93,49.53,92.09,6.07,32.6,27.97,-
108,Ireland,IRL,2016,3.13,13.72,8.352954987457531,20,171.92,125.66,51.61,50.38,78.03,8.51,32.31,30.85,73.07
109,Israel,ISR,2013,2.4,10.06,6.116024983496777,32,99.34,73.52,51.74,87.04,90.18,10.31,46.6,59.54,-
110,Israel,ISR,2014,2.35,9.72,5.927504515040312,35,91.16,69.29,66.72,75.43,91.45,12.83,46.38,63.75,-
111,Israel,ISR,2015,2.19,9.84,5.907667418828959,30,120.43,88.18,69.6,76.35,79.29,10.72,41.25,65.21,-
112,Israel,ISR,2016,2.13,9.62,5.77592389981427,23,166.63,115.54,69.37,76.07,75.75,10.64,37.76,61.46,81.89
113,Italy,ITA,2013,2.27,8.81,5.395752172376107,37,87.36,75.76,50.54,64.78,98.09,13.0,38.43,58.86,-
114,Italy,ITA,2014,2.17,8.5,5.196653997321852,36,90.61,75.39,54.41,65.05,96.81,12.15,38.05,60.42,-
115,Italy,ITA,2015,2.18,8.38,5.14460168245325,38,100.99,79.35,52.5,65.78,82.72,11.69,35.91,57.75,-
116,Italy,ITA,2016,2.08,7.88,4.850424784287788,26,159.28,105.67,53.78,67.76,68.77,10.37,36.49,56.56,86.19
117,Japan,JPN,2013,9.44,24.4,16.817110580550253,15,159.79,87.68,86.89,80.09,113.21,8.32,50.3,33.68,-
118,Japan,JPN,2014,9.31,23.57,16.345728353575982,12,168.47,99.64,81.9,85.03,94.13,8.34,47.64,40.78,-
119,Japan,JPN,2015,8.88,22.69,15.69282297584044,13,168.28,98.21,79.76,87.07,80.36,9.24,51.05,38.22,-
120,Japan,JPN,2016,8.81,22.63,15.632275249147035,16,176.06,117.55,80.66,80.42,81.25,20.17,48.35,34.04,79.64
121,Jordan,JOR,2014,1.38,4.92,3.2769781976563475,55,39.54,38.3,52.42,74.1,61.46,7.95,60.2,81.84,-
